House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Orry Row,Gerald,Evans,66,Head,Single,Male,"Editor, magazine features",None,Catholic
2,Orry Row,Frances,O'Connor,39,Head,Single,Female,Games developer,None,Christian
2,Orry Row,Harry,O'Connor,7,Son,NA,Male,Student,None,NA
2,Orry Row,Pamela,O'Connor,4,Daughter,NA,Female,Child,None,NA
3,Orry Row,Derek,Ali,54,Head,Married,Male,Dancer,None,Christian
3,Orry Row,Natasha,Ali,52,Wife,Married,Female,"Designer, blown glass/stained glass",None,None
3,Orry Row,Gregory,Walker,5,Step-Son,NA,Male,Student,None,NA
4,Orry Row,Jayne,Knight,73,Head,Married,Female,"Retired Surveyor, land/geomatics",None,None
4,Orry Row,Danny,Knight,80,Husband,Married,Male,"Retired Horticulturist, commercial",None,None
4,Orry Row,Clare,Brady,5,Granddaughter,NA,Female,Student,None,NA
5,Orry Row,Frederick,Cunningham,83,Head,Single,Male,Retired Newspaper journalist,None,Catholic
6,Orry Row,Leslie,Griffiths,61,Head,Married,Male,"Civil engineer, consulting",None,None
6,Orry Row,Helen,Griffiths,59,Wife,Married,Female,Clinical molecular geneticist,None,None
7,Orry Row,Alex,Turnbull,64,Head,Single,Male,"Surveyor, minerals",None,Christian
7,Orry Row,Charlotte,Turnbull,9,Granddaughter,NA,Female,Student,None,
8,Orry Row,Conor,Frost,38,Head,Married,Male,Unemployed,None,None
8,Orry Row,Bethany,Frost,40,Wife,Married,Female,Location manager,None,None
9,Orry Row,Naomi,Kirk,51,Head,Divorced,Female,Mechanical engineer,None,Methodist
9,Orry Row,Leah,Peters,19,Step-Daughter,Single,Female,University Student,None,Methodist
9,Orry Row,Jake,Fry,15,Step-Son,NA,Male,Student,None,NA
10,Orry Row,Scott,Marsh,67,Head,Widowed,Male,Media buyer,None,Christian
11,Orry Row,Alan,West,43,Head,Single,Male,"Librarian, academic",None,None
12,Orry Row,Amber,Miah,31,Head,Single,Female,"Nurse, children's",None,None
12,Orry Row,Carol,Miah,5,Daughter,NA,Female,Student,None,NA
12,Orry Row,Robin,Miah,5,Son,NA,Male,Student,None,NA
13,Orry Row,Stephanie,Atkins,68,Head,Married,Female,Retired Ergonomist,None,None
13,Orry Row,Wayne,Atkins,70,Husband,Married,Male,"Retired Accountant, chartered certified",None,None
14,Orry Row,Jane,Barber,50,Head,Married,Female,Editorial assistant,None,Catholic
14,Orry Row,Elliott,Barber,54,Husband,Married,Male,Production engineer,None,None
14,Orry Row,Elliott,Barber,15,Son,NA,Male,Student,None,NA
15,Orry Row,Natalie,Blackburn,46,Head,Single,Female,Retail buyer,None,None
15,Orry Row,Olivia,Blackburn,17,Daughter,NA,Female,Student,None,NA
16,Orry Row,Emily,Davey,79,Head,Married,Female,"Retired Librarian, public",None,Christian
16,Orry Row,Lawrence,Davey,83,Husband,Married,Male,Retired Public affairs consultant,None,Christian
17,Orry Row,Harry,Brown,20,Head,Divorced,Male,University Student,None,None
18,Orry Row,Shirley,Nicholson,38,Head,Divorced,Female,"Teacher, music",None,Methodist
19,Orry Row,Liam,James,61,Head,Single,Male,"Production assistant, radio",None,None
20,Orry Row,Shirley,Stephenson,74,Head,Widowed,Female,Retired Geophysical data processor,None,Methodist
21,Orry Row,Catherine,Brown,69,Head,Married,Female,Retired Higher education lecturer,None,None
21,Orry Row,Anthony,Brown,74,Husband,Married,Male,Retired Research scientist (maths),None,None
