House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Akhtar Pike,Alison,Stephenson,72,Head,Single,FEMALE,"Retired Therapist, sports",None,Christian
2,Akhtar Pike,Alan,Cross,66,Head,Widowed,Male,Optometrist,None,Christian
3,Akhtar Pike,Brenda,Hughes,41,Head,Divorced,Female,Industrial buyer,None,None
4,Akhtar Pike,Joyce,Lowe,67,Head,Widowed,Female,Unemployed,None,Christian
5,Akhtar Pike,Joyce,Stone,86,Head,Divorced,Female,Retired Cabin crew,None,Christian
6,Akhtar Pike,Marian,Jones,54,Head,Married,Female,"Editor, film/video",None,Methodist
6,Akhtar Pike,Leslie,Jones,60,Husband,Married,Male,Primary school teacher,None,None
7,Akhtar Pike,Carly,Metcalfe,39,Head,Single,Female,Acupuncturist,None,Methodist
7,Akhtar Pike,Kathryn,Metcalfe,4,Daughter,NA,FEMALE,Child,None,NA
7,Akhtar Pike,Nathan,Schofield,29,Lodger,Single,Male,English as a second language teacher,None,Sikh
8,Akhtar Pike,Gillian,Murphy,65,Head,Single,Female,"Engineer, automotive",None,None
9,Akhtar Pike,Kimberley,Bull,33,Head,Divorced,Female,Unemployed,None,None
9,Akhtar Pike,Kenneth,Bull,1,Son,NA,Male,Child,None,NA
10,Akhtar Pike,Rhys,Jenkins,32,Head,Married,Male,"Engineer, biomedical",None,None
10,Akhtar Pike,Ann,Jenkins,36,Wife,Married,Female,Chartered loss adjuster,None,None
11,Akhtar Pike,Hollie,Goddard,53,Head,Married,Female,Lexicographer,None,Sikh
11,Akhtar Pike,Jeremy,Goddard,53,Husband,Married,Male,Private music teacher,None,Sikh
12,Akhtar Pike,Charlie,Powell,80,Head,Married,Male,"Retired Designer, fashion/clothing",None,Christian
12,Akhtar Pike,Sian,Powell,70,Wife,Married,F,"Retired Doctor, hospital",None,Christian
13,Akhtar Pike,Rita,Williams,18,Head,Married,Female,Student,None,NA
,Akhtar Pike,Julian,Williams,23,Husband,Married,Male,"Administrator, local government",None,None
14,Akhtar Pike,Jeffrey,Oliver,39,Head,Single,Male,Medical laboratory scientific officer,None,Christian
14,Akhtar Pike,Kelly,Oliver,9,Daughter,NA,Female,Student,None,NA
15,Akhtar Pike,Gregory,Kirk,67,Head,Widowed,MALE,Product manager,None,None
16,Akhtar Pike,Gail,Murphy,41,Head,Married,Female,Unemployed,None,Catholic
16,Akhtar Pike,Wayne,Murphy,43,Husband,Married,Male,Unemployed,None,Catholic
16,Akhtar Pike,Hollie,Murphy,15,Daughter,NA,Female,Student,None,NA
17,Akhtar Pike,Lewis,Burns,69,Head,Widowed,Male,Retired Holiday representative,None,None
18,Akhtar Pike,Dominic,Jones,61,Head,Divorced,Male,Stage manager,None,Christian
19,Akhtar Pike,Dorothy,Green,51,Head,Divorced,Female,Advertising account planner,None,None
19,Akhtar Pike,Nicola,Green,14,Daughter,NA,Female,Student,None,NA
20,Akhtar Pike,Kathryn,Cole,21,Head,Divorced,Female,University Student,None,Muslim
20,Akhtar Pike,Jake,Cole,4,Son,NA,Male,Child,None,NA
20,Akhtar Pike,Darren,Cole,1,Son,NA,Male,Child,None,NA
21,Akhtar Pike,Marion,Manning,43,Head,Married,Female,Lobbyist,None,Catholic
21,Akhtar Pike,Derek,Manning,47,Husband,Married,Male,Exhibition designer,None,None
21,Akhtar Pike,Mitchell,Manning,16,Son,NA,Male,Student,None,NA
